,MTM Impact on Derivative Positions,,,
,Loss of Rehypothecation Rights Due to a 1 Notch Downgrade,,,
,Loss of Rehypothecation Rights Due to a 2 Notch Downgrade,,,
,Loss of Rehypothecation Rights Due to a 3 Notch Downgrade,,,
,Loss of Rehypothecation Rights Due to a Change in Financial Condition,,,
,Total Collateral Required Due to a 1 Notch Downgrade,,,
,Total Collateral Required Due to a 2 Notch Downgrade,,,
,Total Collateral Required Due to a 3 Notch Downgrade,,,
,Total Collateral Required Due to a Change in Financial Condition,,,
,Excess Margin,,,
,Unfunded Term Margin,,,
,Interest and Dividends Payable,,,
,Net 30-Day Derivative Payables,,,
,Other Outflows Related to Structured Transactions,,,
,Other Cash Outflows,,,
Supplemental - Derivatives & Collateral,,,,
